,title,PKE_corrélation_texte_keyword,PKE_corrélation_keyword_without_ent,PKE_corrélation_keyword_without_stop_word,PKE_corrélation_keywords_lematisations
0,Notations.,1.0,1.0,1.0,0.9999999999999999
1,En partie double. ,0.20203050891044214,0.20277677641345318,0.18333969940564224,0.30123203803835463
2,Litotes. ,0.0,0.0,0.0,0.17213259316477406
3,Métaphoriquement.,0.0944911182523068,0.0668153104781061,0.07412493166611013,0.08606629658238703
4,Rétrograde. ,0.2964997266644405,0.3227486121839514,0.2964997266644405,0.29814239699997197
5,Surprises.,0.07412493166611013,0.06454972243679027,0.06900655593423542,0.1690308509457033
6,"Rêve. 
",0.2760262237369417,0.2727723627949905,0.25928148942086576,0.3380617018914066
7,Pronostication. ,0.3241018617760822,0.2551551815399144,0.23328473740792174,0.29617443887954614
8,Synchyses. ,0.2760262237369417,0.23570226039551587,0.19446111706564934,0.3227486121839514
9,L'arc-en-ciel,0.25928148942086576,0.22360679774997896,0.2452557357939863,0.25048971643405976
10,Logo-rallye.,0.1636634176769943,0.13055824196677338,0.13957263155977062,0.1414213562373095
11,Hésitations.,0.1336306209562122,0.1143739277494535,0.10286889997472794,0.17712297710801903
12,Précisions. ,0.19702760155977517,0.16273613872602985,0.17397225015980528,0.26186146828319085
13,Le côté subjectif.,0.1336306209562122,0.10425720702853739,0.12598815766974242,0.2065591117977289
14,Autre subjectivité. ,0.15724272550828775,0.1417366773784602,0.15152288168283162,0.0975900072948533
15,Récit. ,0.2439750182371333,0.2175970699446223,0.2326210525996177,0.282842712474619
16,Composition de mots. ,0.0,0.10206207261596577,0.0,0.2581988897471611
17,Négativités. ,0.0,0.0,0.0,0.0
18,Animisme. ,0.15724272550828775,0.14708710135363803,0.16035674514745463,0.26967994498529685
19,Anagrammes.,0.0,0.08333333333333333,0.0,0.19364916731037085
20,Distinguo,0.16718346377260587,0.13055824196677338,0.14638501094227999,0.1987615979999813
21,Homéotéleutes. ,0.0,0.0,0.0,0.0716114874039433
22,Lettre officielle. ,0.11396057645963795,0.10206207261596577,0.1091089451179962,0.19178532059415365
23,Prière d'insérer. ,0.0,0.0,0.0,0.15191090506255
24,Onomatopées.,0.06299407883487121,0.0625,0.05698028822981897,0.2151657414559676
25,Analyse logique.,0.18085983626508062,0.16610264925668733,0.17837651700316895,0.3835706411883073
26,Insistance. ,0.30224722241676033,0.2553084476343789,0.27836530835928386,0.3010972997000729
27,Ignorance.,0.22291128503014115,0.19245008972987526,0.1636634176769943,0.2666666666666666
28,Passé indéfini. ,0.48331225268012157,0.3777415508588948,0.42882464657199776,0.3865006029094686
29,Présent,0.14285714285714285,0.12126781251816648,0.1336306209562122,0.1432229748078866
30,Passé simple.,0.2760262237369417,0.24253562503633297,0.2672612419124244,0.2760262237369417
31,Imparfait. ,0.2672612419124244,0.24253562503633297,0.2672612419124244,0.3131121455425747
32,Alexandrins. ,0.13801311186847084,0.11180339887498948,0.11664236870396087,0.2513123449750173
33,Polyptotes. ,0.21677749238103003,0.19287918745261487,0.21128856368212914,0.16190612166625976
34,Aphérèses ,0.0,0.08333333333333333,0.0,0.0778498944161523
35,Apocopes,0.20701966780270628,0.1875,0.16035674514745463,0.2656844656620286
36,Moi je.,0.390094748802747,0.19814848097530424,0.36689969285267143,0.28122049591070253
37,Exclamations. ,0.3690508734788422,0.336759941300203,0.36596252735569995,0.3632995072753774
38,Alors. ,0.253546276418555,0.30151134457776363,0.2672612419124244,0.3333333333333333
39,"Ampoulé. 
",0.12683657235796028,0.125,0.11334401336131951,0.13140086396352085
40,"Vulgaire. 
",0.2977750001912791,0.3046358979224712,0.2672612419124244,0.25048971643405976
41,Interrogatoire. ,0.08227895185745919,0.0875376219064817,0.08212026520665158,0.10210147121716917
42,Comédie.,0.2004459314343183,0.160422236979937,0.1729171253112705,0.23094010767585027
43,Apartés. ,0.31622776601683794,0.28769822778437526,0.31622776601683794,0.3195048252113468
44,Paréchèses. ,0.0,0.10206207261596577,0.0,0.27386127875258304
45,"Fantomatique. 
",0.1649572197684645,0.14002800840280097,0.14684461964287046,0.18257418583505536
46,Philosophique,0.14285714285714285,0.1091089451179962,0.11952286093343936,0.1777046633277277
47,Apostrophe. ,0.2182178902359924,0.24333213169614382,0.18609684207969418,0.34641016151377546
48,Maladroit. ,0.3436215967445456,0.3090612688845503,0.3626203338114211,0.3901297961725498
49,"Désinvolte. 
",0.07102387371589203,0.09223309842157773,0.07122536028727372,0.10978492927901577
50,Partial. ,0.31622776601683794,0.202072594216369,0.2252213082307254,0.3077935056255462
51,Sonnet.,0.24174688920761409,0.1875,0.2004459314343183,0.21483446221182986
52,Olfactif,0.16116459280507606,0.08980265101338746,0.13801311186847084,0.223606797749979
53,Gustatif.,0.052414241836095915,0.042874646285627205,0.0472455591261534,0.09274777915203367
54,Tactile. ,0.0890870806374748,0.0625,0.06900655593423542,0.23186944788008415
55,Visuel. ,0.03742405942825599,0.0314970394174356,0.03394221166510653,0.09589266029707683
56,Auditif. ,0.08058229640253803,0.05590169943749474,0.061313933948496574,0.23973165074269207
57,Ode,0.2742042485535409,0.22097086912079608,0.2326210525996177,0.29814239699997197
58,Permutations par groupes croissants de lettres,0.0,0.05892556509887897,0.0,0.12171612389003691
59,Permutations par groupes croissants de mots ,0.2727723627949905,0.236227795630767,0.25717224993681986,0.35445877847928337
60,Hellénismes,0.12964074471043288,0.125,0.12964074471043288,0.06900655593423542
61,Ensembliste ,0.04075695729696112,0.03904344047215152,0.036369648372665396,0.1653796461189446
62,Définitionnel,0.04800153607373194,0.03466876226407682,0.040291148201269014,0.039374961547907886
63,"Tanka 
",0.2182178902359924,0.1889822365046136,0.2182178902359924,0.21081851067789195
64,Vers libres. ,0.23904572186687872,0.22941573387056174,0.22291128503014115,0.2666666666666666
65,"Translation 
",0.15430334996209194,0.24253562503633297,0.21428571428571427,0.23693955110363693
66,Lipogramme,0.08451542547285165,0.1386750490563073,0.08058229640253803,0.24494897427831777
67,Anglicisme,0.0,0.0,0.0,0.0
68,Prosthèses,0.0,0.0,0.0,0.0
69,Epenthèse,0.0,0.0,0.0,0.0
70,Paragoges,0.0,0.0,0.0,0.0
71,Parties du discours. ,0.0,0.0,0.0,0.0
72,Métathèses ,0.0,0.0,0.0,0.0
73,"Par devant par derrière. 
",0.15724272550828775,0.14569287935358963,0.32071349029490925,0.17895849739771977
74,Noms propres,0.10101525445522107,0.08838834764831843,0.09600307214746388,0.29814239699997197
75,Loucherbem,0.13801311186847084,0.125,0.12262786789699315,0.12524485821702988
76,"Antonymique. 
",0.12598815766974242,0.11785113019775793,0.12598815766974242,0.2153527608232662
77,Macaronique ,0.0,0.0,0.0,0.15936381457791915
78,"Homphonique 
",0.0,0.0,0.0,0.06666666666666665
79,Poor lay Zanglay ,0.04393747751637469,0.10206207261596577,0.02988071523335984,0.029049644688706338
80,Contre-petteries,0.0,0.0,0.0,0.0816496580927726
81,Botanique. ,0.0,0.0,0.0,0.06666666666666665
82,Médical. ,0.0,0.0,0.0,0.0816496580927726
83,Injurieux. ,0.09166984970282112,0.08006407690254357,0.0890870806374748,0.08728715609439694
84,Gastronomique. ,0.17496355305594133,0.14433756729740643,0.1636634176769943,0.2065591117977289
85,Zoologique. ,0.11664236870396087,0.10425720702853739,0.12262786789699315,0.1777046633277277
86,Impuissant. ,0.20573779994945587,0.1889822365046136,0.20573779994945587,0.24845199749997662
87,Modern style.,0.33436692754521175,0.26940795304016235,0.30304576336566325,0.36364878269900747
88,Probabiliste,0.14888750009563956,0.125,0.13957263155977062,0.21081851067789195
89,Portrait. ,0.1336306209562122,0.09622504486493763,0.11664236870396087,0.1951800145897066
90,Géométrique ,0.036037498507822355,0.03340765523905305,0.03289758474798845,0.033058980245364314
91,Paysan ,0.0545544725589981,0.036084391824351615,0.031497039417435604,0.12344267996967351
92,Interjections.,0.0,0.0,0.0,0.0
93,Précieux. ,0.21398024625545645,0.21004201260420147,0.2037847864848056,0.34623355678064854
94,Inattendu. ,0.016884335133064934,0.015769392507419253,0.016888080133695013,0.010901165669462145
95,Contexte de la Recherche :,0.0,0.0,0.0,0.0
